SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S01020	Myrmecophilus (Myrmecophilus) fuscus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01030	Myrmecophilus (Myrmecophilus) gallicus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	images on OSF
S01040	Myrmecophilus (Myrmecophilus) hirticaudus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	only two images	two individuals on google search (synonym termitophilus)
S01050	Myrmecophilus (Myrmecophilus) myrmecophilus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01060	Myrmecophilus (Myrmecophilus) nonveilleri	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01070	Myrmecophilus (Myrmophilina) ochraceus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01080	Diestrammena asynamora	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01090	Dolichopoda (Capraiacris) aegilion	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01100	Dolichopoda (Capraiacris) baccettii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01110	Dolichopoda (Capraiacris) bolivari	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01120	Dolichopoda (Chopardina) bormansi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01130	Dolichopoda (Chopardina) cyrnensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01140	Dolichopoda (Chopardina) lustriae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01150	Dolichopoda (Chopardina) muceddai	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01160	Dolichopoda (Chopardina) remyi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01170	Dolichopoda (Chopardina) schiavazzii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01180	Dolichopoda (Dolichopoda) annae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01190	Dolichopoda (Dolichopoda) araneiformis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	only 3 individuals on google search
S01200	Dolichopoda (Dolichopoda) azami	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01210	Dolichopoda (Dolichopoda) bakolitsasi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01220	Dolichopoda (Dolichopoda) calidnae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01230	Dolichopoda (Dolichopoda) capreensis	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01240	Dolichopoda (Dolichopoda) chopardi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01250	Dolichopoda (Dolichopoda) christosnifoni	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S01260	Dolichopoda (Dolichopoda) dalensi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01270	Dolichopoda (Dolichopoda) euxina	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"only few individuals on google search, http://biodiversity-georgia.net/index.php?taxon=Dolichopoda%20euxina"
S01280	Dolichopoda (Dolichopoda) gasparoi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01290	Dolichopoda (Dolichopoda) geniculata	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01300	Dolichopoda (Dolichopoda) giachinoi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01310	Dolichopoda (Dolichopoda) giulianae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01320	Dolichopoda (Dolichopoda) graeca	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01330	Dolichopoda (Dolichopoda) hussoni	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01340	Dolichopoda (Dolichopoda) ithakii	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01350	Dolichopoda (Dolichopoda) kalithea	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01360	Dolichopoda (Dolichopoda) kiriakii	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01370	Dolichopoda (Dolichopoda) laetitiae	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01380	Dolichopoda (Dolichopoda) linderii	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01390	Dolichopoda (Dolichopoda) matsakisi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
