SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S00940	Gryllotalpa unispina	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S00950	Gryllotalpa viginti	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00960	Gryllotalpa vigintiunum	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00970	Gryllotalpa vineae	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S00980	Myrmecophilus (Myrmecophilus) acervorum	-	-	-	x	x	x	-	-	x	-	x	x	x	-	7	.
S00990	Myrmecophilus (Myrmecophilus) aequispina	-	-	-	x	x	-	-	x	-	-	-	-	-	-	3	.
S01000	Myrmecophilus (Myrmecophilus) balcanicus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01010	Myrmecophilus (Myrmecophilus) baronii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01020	Myrmecophilus (Myrmecophilus) fuscus	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S01030	Myrmecophilus (Myrmecophilus) gallicus	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S01040	Myrmecophilus (Myrmecophilus) hirticaudus	-	-	-	-	-	-	-	-	-	x	x	-	x	-	3	.
S01050	Myrmecophilus (Myrmecophilus) myrmecophilus	-	-	-	x	-	-	-	x	x	x	-	-	-	-	4	.
S01060	Myrmecophilus (Myrmecophilus) nonveilleri	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01070	Myrmecophilus (Myrmophilina) ochraceus	-	-	-	-	-	-	x	x	x	x	-	-	-	x	5	.
S01080	Diestrammena asynamora	x	x	x	x	x	-	-	x	x	-	-	-	-	x	8	.
S01090	Dolichopoda (Capraiacris) aegilion	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01100	Dolichopoda (Capraiacris) baccettii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01110	Dolichopoda (Capraiacris) bolivari	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01120	Dolichopoda (Chopardina) bormansi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01130	Dolichopoda (Chopardina) cyrnensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01140	Dolichopoda (Chopardina) lustriae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01150	Dolichopoda (Chopardina) muceddai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
