SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S05250	Anonconotus baracunensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05260	Anonconotus ghiliani	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05270	Anonconotus italoaustriacus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05280	Anonconotus ligustinus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05290	Anonconotus mercantouri	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S05300	Anonconotus occidentalis	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S05310	Anonconotus pusillus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05320	Anonconotus sibyllinus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05330	Antaxius (Antaxius) kraussii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05340	Antaxius (Chopardius) beieri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05350	Antaxius (Chopardius) chopardi	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S05360	Antaxius (Chopardius) florezi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05370	Antaxius (Chopardius) hispanicus	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S05380	Antaxius (Chopardius) pedestris	-	-	-	x	x	-	x	x	-	-	-	-	-	-	4	.
S05390	Antaxius (Chopardius) sorrezensis	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S05400	Antaxius (Chopardius) spinibrachius	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05410	Antaxius (Cyrnantaxius) bouvieri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05420	Antaxius (Hoelzeliana) difformis	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S05430	Anterastes serbicus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05440	Bicolorana bicolor	-	x	-	x	x	x	x	x	x	-	x	x	x	x	11	.
S05450	Bicolorana burri	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S05460	Bicolorana kraussi	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S05470	Broughtonia arnoldi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05480	Broughtonia domogledi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05490	Bucephaloptera bucephala	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05500	Incertana decorata	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S05510	Incertana drepanensis	-	-	-	-	-	-	-	x	x	-	-	-	-	x	3	.
S05520	Incertana incerta	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S05530	Metrioptera brachyptera	x	x	x	x	x	x	-	x	x	-	x	-	x	x	11	.
S05540	Metrioptera buyssoni	-	-	-	x	-	-	x	x	-	-	-	-	-	-	3	.
S05550	Metrioptera hoermanni	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05560	Metrioptera karnyana	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05570	Metrioptera maritima	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05580	Metrioptera prenjica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05590	Metrioptera saussuriana	-	-	-	x	x	-	x	x	-	-	-	-	-	-	4	.
S05600	Metrioptera tsirojanni	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S05610	Metriptera ambigua	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05620	Metriptera caprai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05630	Modestana ebneri	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S05640	Modestana modesta	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05650	Montana barretii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05660	Montana carpetana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S05670	Montana decticiformis	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S05680	Montana eversmanni	-	-	-	-	-	-	-	-	-	-	x	x	-	x	3	.
S05690	Montana macedonica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S05700	Montana medvedevi	-	-	-	-	-	-	-	-	x	-	x	x	-	x	4	.
S05710	Montana montana	-	-	x	-	x	x	-	-	x	-	-	x	-	x	6	.
S05720	Montana striata	-	-	-	-	-	-	-	-	x	-	x	x	-	x	4	.
S05730	Montana stricta	-	-	-	-	-	-	-	x	x	-	x	(x)	-	-	3	.
S05740	Motana daghestanica	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S05750	Pachytrachis bosniacus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05760	Pachytrachis frater	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05770	Pachytrachis gracilis	-	-	-	-	x	-	-	x	x	x	-	-	-	-	4	.
S05780	Pachytrachis striolatus	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S05790	Pachytrachis tumidus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S05800	Parnassiana chelmos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05810	Parnassiana coracis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05820	Parnassiana dirphys	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05830	Parnassiana fusca	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05840	Parnassiana gionica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05850	Parnassiana menalon	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05860	Parnassiana nigromarginata	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05870	Parnassiana panaetolikon	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05880	Parnassiana parnassica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05890	Parnassiana parnon	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05900	Parnassiana tenuis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05910	Parnassiana tymphiensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05920	Parnassiana tymphrestos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S05930	Platycleis affinis	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S05940	Platycleis albopunctata	x	x	x	x	x	x	x	-	-	-	-	-	-	x	8	.
S05950	Platycleis concii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S05960	Platycleis escalerai	-	-	-	-	-	-	-	x	x	x	x	-	x	x	6	.
S05970	Platycleis falx	-	-	-	x	-	-	x	x	-	-	-	-	-	x	4	.
S05980	Platycleis grisea	-	-	-	-	-	-	-	x	x	x	x	x	-	-	5	.
S05990	Platycleis iberica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06000	Platycleis intermedia	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S06010	Platycleis ragusai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06020	Platycleis romana	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S06030	Platycleis sabulosa	-	-	-	x	-	-	x	x	-	-	-	-	-	x	4	.
S06040	Platycleis waltheri	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S06050	Psorodonotus fieberi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06060	Psorodonotus illyricus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06070	Psorodonotus macedonicus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S06080	Psorodonotus specularis	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S06090	Psorodonotus venosus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S06100	Pterolepis berberica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06110	Pterolepis cordubensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06120	Pterolepis elymica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06130	Pterolepis lusitanica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06140	Pterolepis pedata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06150	Pterolepis spoliata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06160	Rhacocleis agiostratica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06170	Rhacocleis anatolica	-	-	-	-	-	-	-	-	-	x	-	-	-	x	2	.
S06180	Rhacocleis andikithirensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06190	Rhacocleis annulata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06200	Rhacocleis baccettii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06210	Rhacocleis bonfilsi 	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06220	Rhacocleis bucchicii	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06230	Rhacocleis corsicana 	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06240	Rhacocleis crypta	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06250	Rhacocleis derrai 	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06260	Rhacocleis distinguenda	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06270	Rhacocleis edentata	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06280	Rhacocleis ferdinandi 	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06290	Rhacocleis germanica	-	-	-	x	x	-	-	x	x	x	x	-	-	x	7	.
S06300	Rhacocleis graeca	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06310	Rhacocleis insularis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06320	Rhacocleis japygia	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06330	Rhacocleis lithoscirtetes	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06340	Rhacocleis maculipedes	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06350	Rhacocleis neglecta	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06360	Rhacocleis poneli	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S06370	Rhacocleis silvestrii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06380	Rhacocleis thyrrhenica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06390	Rhacocleis trilobata	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06400	Rhacocleis uvarovi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06410	Rhacocleis werneri	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S06420	Roeseliana ambitiosa	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S06430	Roeseliana azami	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S06440	Roeseliana brunneri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06450	Roeseliana fedtschenkoi	-	-	-	-	-	-	-	-	x	-	x	-	x	x	4	.
S06460	Roeseliana oporina	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06470	Roeseliana roeselii	x	x	x	x	x	x	x	x	x	-	x	x	x	x	13	.
S06480	Sardoplatycleis galvagnii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06490	Schizonotinus forficalis	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S06500	Schizonotinus kerketa	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S06510	Sepiana sepium	-	-	-	x	-	-	x	x	x	x	x	-	-	x	7	.
S06520	Sporadiana sporadarum	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06530	Tessellana  nigrosignata	-	-	-	-	-	-	-	x	x	-	-	-	-	x	3	.
S06540	Tessellana carinata	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S06550	Tessellana lagrecai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06560	Tessellana orina	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S06570	Tessellana tessellata	-	-	-	x	x	-	x	x	x	-	x	x	x	x	9	.
S06580	Tessellana veyseli	-	-	-	-	x	-	-	-	x	-	x	x	x	x	6	.
S06590	Vichetia knipperi 	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06600	Vichetia oblongicollis	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S06610	Yersinella beybienko	-	-	-	-	-	-	-	x	-	x	-	-	-	-	2	.
S06620	Yersinella raymondi	-	-	-	x	-	-	x	x	x	-	-	-	-	-	4	.
S06630	Zeuneriana abbreviata	-	-	-	x	-	-	x	(x)	-	-	-	-	-	-	2	.
S06640	Zeuneriana amplipennis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S06650	Zeuneriana burriana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06660	Zeuneriana marmorata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06670	Amphiestris baetica	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S06680	Medecticus assimilis	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S06690	Tettigonia balcanica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S06700	Tettigonia cantans	-	-	x	x	x	x	x	x	x	-	x	(x)	x	x	10	.
S06710	Tettigonia caudata	-	-	-	-	x	x	-	x	x	x	x	x	x	x	9	.
S06720	Tettigonia hispanica	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S06730	Tettigonia longispina	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06740	Tettigonia silana 	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06750	Tettigonia viridissima	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S06760	Thyreonotus bidens	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S06770	Thyreonotus corsicus	-	-	-	x	-	-	x	x	-	-	-	-	-	x	4	.
S06780	Acrida bicolor	-	-	-	-	-	-	-	-	-	-	x	x	x	-	3	.
S06790	Acrida oxycephala	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S06800	Acrida turrita	-	-	-	-	-	-	x	x	x	x	x	-	x	x	7	.
S06810	Acrida ungarica	-	-	-	x	x	-	x	x	x	x	-	-	-	x	7	.
S06820	Calephorus compressicornis	-	-	-	x	-	-	x	-	-	-	-	-	-	x	3	.
S06830	Phlocerus menetriesii	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S06840	Phlocerus zaitzevi	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S06850	Duroniella carinata	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S06860	Duroniella fracta	-	-	-	-	-	-	-	-	-	x	-	-	-	x	2	.
S06870	Duroniella gracilis	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S06880	Duroniella kalmyka	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S06890	Duroniella laticornis	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S06900	Duroniella lucasii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S06910	Truxalis nasuta	-	-	-	-	-	-	x	x	x	x	-	-	-	x	5	.
S06920	Calliptamus barbarus	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S06930	Calliptamus coelesyriensis	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S06940	Calliptamus italicus	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S06950	Calliptamus siciliae	-	-	-	x	x	-	(x)	x	-	-	-	-	-	-	3	.
S06960	Calliptamus tenuicercis	-	-	-	-	-	-	-	-	x	x	-	-	x	x	4	.
S06970	Calliptamus wattenwylianus	-	-	-	x	-	-	x	-	-	-	-	-	-	x	3	.
S06980	Paracaloptenus bolivari	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S06990	Paracaloptenus caloptenoides	-	-	-	-	x	-	-	-	x	-	x	-	-	x	4	.
S07000	Paracaloptenus cristatus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S07010	Anacridium aegyptium	-	-	-	x	-	-	x	x	x	x	x	x	x	x	9	.
S07020	Schistocerca gregaria	x	-	-	-	-	-	x	-	x	x	-	-	-	x	5	.
S07030	Acanthacris ruficornis	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S07040	Egnatioides desertus	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S07050	Egnatius apicalis	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S07060	Eyprepocnemis plorans	-	-	-	-	-	-	x	x	x	x	-	x	x	x	7	.
S07070	Heteracris adspersa	-	-	-	-	-	-	x	x	-	-	-	x	x	x	5	.
S07080	Heteracris annulosa	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S07090	Heteracris littoralis	-	-	-	-	-	-	x	-	x	x	-	-	-	x	4	.
S07100	Heteracris pterosticha	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S07110	Arcyptera (Arcyptera) fusca	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S07120	Arcyptera (Arcyptera) tornosi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07130	Arcyptera (Pararcyptera) alzonai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07140	Arcyptera (Pararcyptera) brevipennis	-	-	-	x	-	-	x	x	x	-	-	-	-	-	4	.
S07150	Arcyptera (Pararcyptera) kheili	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S07160	Arcyptera (Pararcyptera) labiata	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S07170	Arcyptera (Pararcyptera) microptera	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S07180	Chrysochraon beybienkoi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07190	Chrysochraon dispar	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S07200	Euchorthippus albolineatus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07210	Euchorthippus angustulus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07220	Euchorthippus chopardi	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S07230	Euchorthippus declivus	-	-	-	x	x	-	x	x	x	x	x	-	-	-	7	.
S07240	Euchorthippus elegantulus	-	-	-	x	-	-	x	x	-	-	-	-	-	-	3	.
S07250	Euchorthippus pulvinatus	-	-	-	x	x	x	x	-	-	x	x	x	x	x	9	.
S07260	Euchorthippus sardous	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07270	Euthystira brachyptera	-	-	x	x	x	x	x	x	x	x	x	x	x	x	12	.
S07280	Podismopsis keisti	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S07290	Podismopsis poppiusi	-	-	x	-	-	-	-	-	-	-	-	-	-	x	2	.
S07300	Podismopsis relicta	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S07310	Podismopsis styriaca	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07320	Podismopsis transsylvana	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S07330	Dociostaurus (Dociostaurus) hispanicus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07340	Dociostaurus (Dociostaurus) maroccanus	-	-	-	x	-	-	x	x	x	x	x	-	x	x	8	.
S07350	Dociostaurus (Dociostaurus) minutus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07360	Dociostaurus (Kazakia) brevicollis	-	-	-	-	x	-	-	x	x	x	x	x	x	x	8	.
S07370	Dociostaurus (Kazakia) genei	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S07380	Dociostaurus (Kazakia) jagoi	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S07390	Dociostaurus (Kazakia) tartarus	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S07400	Dociostaurus (Stauronotulus) crassiusculus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07410	Dociostaurus (Stauronotulus) kraussi	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S07420	Eremippus cornatus	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S07430	Eremippus costatus	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S07440	Eremippus mirami	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S07450	Eremippus opacus	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S07460	Eremippus simplex	-	-	-	-	-	-	-	-	-	-	x	x	-	x	3	.
S07470	Eremippus sobolevi	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S07480	Notostaurus albicornis	-	-	-	-	-	-	-	-	x	-	x	x	x	x	5	.
S07490	Notostaurus anatolicus	-	-	-	-	-	-	-	-	x	x	x	-	x	x	5	.
S07500	Xerohippus occidentalis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07510	Xerohippus solerii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07520	Aeropedellus variegatus	-	-	x	-	-	-	-	x	x	-	-	x	-	x	5	.
S07530	Aeropedellus volgensis	-	-	-	-	-	-	-	-	-	-	-	x	-	-	1	.
S07540	Brachycrotaphus tryxalicerus	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S07550	Chorthippus (Chorthippus) abchasicus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S07560	Chorthippus (Chorthippus) albomarginatus	x	x	x	x	x	x	x	-	-	-	x	-	-	x	9	.
S07570	Chorthippus (Chorthippus) dichrous	-	-	-	-	x	-	-	x	x	x	x	x	x	x	8	.
S07580	Chorthippus (Chorthippus) dorsatus	-	x	-	x	x	x	x	x	x	-	x	x	x	x	11	.
S07590	Chorthippus (Chorthippus) ferdinandi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07600	Chorthippus (Chorthippus) jucundus	-	-	-	x	-	-	x	-	-	-	-	-	-	x	3	.
S07610	Chorthippus (Chorthippus) karelini	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S07620	Chorthippus (Chorthippus) lacustris	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07630	Chorthippus (Chorthippus) loratus	-	-	-	-	-	-	-	x	x	x	x	-	x	x	6	.
S07640	Chorthippus (Chorthippus) oschei	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S07650	Chorthippus (Chorthippus) smardai	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S07660	Chorthippus (Glyptobothrus) acroleucus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S07670	Chorthippus (Glyptobothrus) alticola	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07680	Chorthippus (Glyptobothrus) apicalis	-	-	-	x	-	-	x	x	x	-	-	-	-	x	5	.
S07690	Chorthippus (Glyptobothrus) apricarius	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S07700	Chorthippus (Glyptobothrus) ariasi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07710	Chorthippus (Glyptobothrus) biguttulus	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S07720	Chorthippus (Glyptobothrus) bionatus	-	-	-	x	-	-	x	-	-	-	-	-	-	x	3	.
S07730	Chorthippus (Glyptobothrus) biroi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07740	Chorthippus (Glyptobothrus) bornhalmi	-	-	-	-	-	-	-	x	x	x	-	-	-	x	4	.
S07750	Chorthippus (Glyptobothrus) brunneus	x	x	x	x	x	x	x	x	x	-	x	-	x	-	11	.
S07760	Chorthippus (Glyptobothrus) cazurroi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07770	Chorthippus (Glyptobothrus) chloroticus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07780	Chorthippus (Glyptobothrus) cialancensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07790	Chorthippus (Glyptobothrus) corsicus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07800	Chorthippus (Glyptobothrus) crassiceps	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07810	Chorthippus (Glyptobothrus) dubius	-	-	-	-	-	-	-	-	-	-	x	x	-	x	3	.
S07820	Chorthippus (Glyptobothrus) eisentrauti	-	-	-	-	x	-	-	x	x	-	-	-	-	-	3	.
S07830	Chorthippus (Glyptobothrus) elbrusianus	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S07840	Chorthippus (Glyptobothrus) jacobsi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07850	Chorthippus (Glyptobothrus) jutlandica	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S07860	Chorthippus (Glyptobothrus) macrocerus	-	-	-	-	x	x	-	-	x	-	x	x	x	x	7	.
S07870	Chorthippus (Glyptobothrus) maritimus	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S07880	Chorthippus (Glyptobothrus) messinai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07890	Chorthippus (Glyptobothrus) mollis	-	-	x	x	x	x	x	x	x	x	x	x	x	-	11	.
S07900	Chorthippus (Glyptobothrus) porphyropterus	-	-	-	-	-	-	-	-	x	-	x	x	x	x	5	.
S07910	Chorthippus (Glyptobothrus) pulloides	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07920	Chorthippus (Glyptobothrus) pullus	-	-	x	x	x	x	-	x	x	-	x	x	-	-	8	.
S07930	Chorthippus (Glyptobothrus) reissingeri	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07940	Chorthippus (Glyptobothrus) rubratibialis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07950	Chorthippus (Glyptobothrus) sampeyrensis	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S07960	Chorthippus (Glyptobothrus) sangiorgii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S07970	Chorthippus (Glyptobothrus) saulcyi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S07980	Chorthippus (Glyptobothrus) trinacriae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S07990	Chorthippus (Glyptobothrus) vagans	x	-	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S08000	Chorthippus (Glyptobothrus) willemsei	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S08010	Chorthippus (Glyptobothrus) yersini	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S08020	Chorthippus (NA) hirtus	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S08030	Chorthippus (NA) moreanus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
