SpecID	Species	H01_Marshes_and_reeds	H02_Moist_grassland	H03_Mesic_grassland	H04_Dry_grassland	H05_Herbal_grasslands	H06_Rural_areas	H07_Open_ground	H08_Shrubs_and_heath	H09_Dry_bushland	H10_Mesic_bushland	H11_Forest_margins	H12_Woodlands	H13_Subalpine_shrubs	H14_Subalpine_grassland	H15_Alpine_rocks	H16_Ponds_and_streams	H17_Dunes_and_beaches	H18_Lowland_rocky_habitats	H19_Rocks_and_walls	H20_Domestic_habitats	H21_Caves	H22_Ants	U01_Bushes_and_trees	U02_Dense_vegetation	U03_Ground_and_vegetation	U04_Ground_dwelling	U05_Subterranean	U06_Diurnal	U07_Diurnal_and_nocturnal	U08_Nocturnal	U09_Spring	U10_Summer	U11_Winter	RemarksHabitat
S00120	Eumodicogryllus bordigalensis	-	-	-	x	-	-	x	-	-	-	-	-	-	-	-	x	-	x	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00130	Eumodicogryllus theryi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00140	Gryllodes sigillatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	x	x	x	.
S00150	Gryllopsis caspicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00160	Modicogryllus (Modicogryllus) algirius	-	-	-	-	x	-	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	x	x	-	.
S00170	Modicogryllus (Modicogryllus) frontalis	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
S00180	Modicogryllus (Modicogryllus) pallipalpis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00190	Modicogryllus (Modicogryllus) truncatus	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00200	Brachytrupes megacephalus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	x	x	-	x	-	x	-	-	.
S00210	Grylloderes brunneri	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	-	.
S00220	Grylloderes orlovskajae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00230	Sciobia (Sciobia) barbara	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00240	Sciobia (Sciobia) boscai	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00250	Sciobia (Sciobia) lusitanica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00260	Sciobia (Thliptoblemmus) caliendra	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00270	Sciobia (Thliptoblemmus) natalia	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00280	Turanogryllus lateralis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00290	Eugryllodes escalerae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00300	Eugryllodes littoreus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00310	Eugryllodes pipiens	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	x	-	-	x	-	.
S00320	Gryllomorpha (Gryllomorpha) dalmatina	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	x	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S00330	Gryllomorpha (Gryllomorpha) longicauda	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00340	Gryllomorpha (Gryllomorphella) albanica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00350	Gryllomorpha (Gryllomorphella) miramae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00360	Gryllomorpha (Gryllomorphella) uclensis	-	-	-	-	-	-	-	-	x	-	x	-	-	-	-	-	x	x	-	x	-	-	-	-	-	x	x	-	-	x	-	x	-	.
S00370	Acroneuroptila puddui	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S00380	Acroneuroptila sardoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S00390	Ovaliptila buresi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00400	Ovaliptila kinzelbachi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S00410	Ovaliptila krueperi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00420	Ovaliptila lindbergi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	.	.	.	.
S00430	Ovaliptila nana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	-	-	.
S00440	Ovaliptila newmanae	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	x	x	x	-	.
S00450	Ovaliptila rhodos	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	-	x	-	.
S00460	Ovaliptila wettsteini	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	x	-	-	.
S00470	Ovaliptila willemsei	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00480	Petaloptila (Italoptila) andreinii	-	-	-	x	-	-	-	-	x	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	x	-	.
S00490	Petaloptila (Petaloptila) aliena	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	x	-	.
S00500	Petaloptila (Petaloptila) clauseri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00510	Petaloptila (Petaloptila) fermini 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00520	Petaloptila (Petaloptila) fragosoi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00530	Petaloptila (Petaloptila) isabelae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00540	Petaloptila (Petaloptila) pallescens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
