SpecID	Species	H01_Marshes_and_reeds	H02_Moist_grassland	H03_Mesic_grassland	H04_Dry_grassland	H05_Herbal_grasslands	H06_Rural_areas	H07_Open_ground	H08_Shrubs_and_heath	H09_Dry_bushland	H10_Mesic_bushland	H11_Forest_margins	H12_Woodlands	H13_Subalpine_shrubs	H14_Subalpine_grassland	H15_Alpine_rocks	H16_Ponds_and_streams	H17_Dunes_and_beaches	H18_Lowland_rocky_habitats	H19_Rocks_and_walls	H20_Domestic_habitats	H21_Caves	H22_Ants	U01_Bushes_and_trees	U02_Dense_vegetation	U03_Ground_and_vegetation	U04_Ground_dwelling	U05_Subterranean	U06_Diurnal	U07_Diurnal_and_nocturnal	U08_Nocturnal	U09_Spring	U10_Summer	U11_Winter	RemarksHabitat
S01440	Dolichopoda (Dolichopoda) pavesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01450	Dolichopoda (Dolichopoda) steriotisi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01460	Dolichopoda (Dolichopoda) thasosensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01470	Dolichopoda (Dolichopoda) unicolor	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01480	Dolichopoda (Petrochilosina) cassagnaui	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01490	Dolichopoda (Petrochilosina) insignis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01500	Dolichopoda (Petrochilosina) makrykapa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01510	Dolichopoda (Petrochilosina) ochtoniai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01520	Dolichopoda (Petrochilosina) petrochilosi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01530	Dolichopoda (Petrochilosina) saraolacosi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01540	Dolichopoda (Petrochilosina) vandeli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01550	Troglophilus (Paratroglophilus) neglectus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01560	Troglophilus (Paratroglophilus) ovuliformis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01570	Troglophilus (Troglophilus) andreinii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01580	Troglophilus (Troglophilus) brevicauda	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01590	Troglophilus (Troglophilus) cavicola	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01600	Troglophilus (Troglophilus) lagoi	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01610	Troglophilus (Troglophilus) lazaropolensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01620	Troglophilus (Troglophilus) marinae	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01630	Troglophilus (Troglophilus) spinulosus	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01640	Troglophilus (Troglophilus) zoiai	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01650	Troglophilus (Troglophilus) zorae	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	x	-	-	-	-	x	x	-	-	x	x	x	x	.
S01660	Bradyporus (Bradyporus) dasypus	-	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	x	-	.
S01670	Bradyporus (Callimenus) macrogaster	-	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	-	-	.
S01680	Bradyporus (Callimenus) multituberculatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01690	Bradyporus (Callimenus) oniscus	-	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	x	-	.
S01700	Pycnogaster (Bradygaster) sanchezgomezi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S01710	Pycnogaster (Bradygaster) algecirensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01720	Pycnogaster (Bradygaster) gaditana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01730	Pycnogaster (Bradygaster) inermis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01740	Pycnogaster (Pycnogaster) jugicola	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01750	Pycnogaster (Pycnogaster) cucullatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01760	Pycnogaster (Pycnogaster) graellsii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01770	Pycnogaster (Pycnogaster) valentini	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01780	Albarracinia zapaterii	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	.	.	.	-	x	-	.
S01790	Baetica ustulata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01800	Callicrania (Callicrania) belarrensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01810	Callicrania (Callicrania) denticulata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01820	Callicrania (Callicrania) plaxicauda	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01830	Callicrania (Callicrania) ramburii	-	-	-	x	x	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S01840	Callicrania (Mucrocallicrania) demandae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01850	Callicrania (Mucrocallicrania) faberi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01860	Callicrania (Mucrocallicrania) vicentae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01870	Coracinotus notarioi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01880	Coracinotus politus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01890	Coracinotus presai	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01900	Coracinotus squamiferus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01910	Corsteropleurus chopardi	-	-	-	-	-	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S01920	Ephippiger apulus	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S01930	Ephippiger camillae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S01940	Ephippiger carlottae	-	-	-	-	-	-	-	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S01950	Ephippiger cavannai	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S01960	Ephippiger discoidalis	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	-	x	-	.
S01970	Ephippiger diurnus	-	-	-	x	x	x	-	-	x	-	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S01980	Ephippiger ephippiger	-	-	-	x	-	-	-	-	x	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	-	x	-	.
S01990	Ephippiger melisi	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02000	Ephippiger perforatus	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02010	Ephippiger persicarius	-	-	-	x	x	x	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	-	x	-	.
S02020	Ephippiger provincialis	-	-	-	x	x	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S02030	Ephippiger ruffoi	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02040	Ephippiger terrestris	-	-	-	-	x	x	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S02050	Ephippiger zelleri	-	-	-	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02060	Ephippigerida areolaria	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02070	Ephippigerida asella	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02080	Ephippigerida carinata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02090	Ephippigerida longicauda	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02100	Ephippigerida marceti	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02110	Ephippigerida pantingana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02120	Ephippigerida saussureiana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02130	Ephippigerida (Ephippigerida) diluta	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02140	Ephippigerida (Ephippigerida) rosae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02150	Ephippigerida (Lobionifera) laserena	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02160	Lluciapomaresius anapaulae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02170	Lluciapomaresius asturiensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02180	Lluciapomaresius eclipticus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02190	Lluciapomaresius nobrei	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02200	Lluciapomaresius ortegai	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	.
S02210	Lluciapomaresius panteli	-	-	-	-	-	-	-	-	x	-	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	.
S02220	Lluciapomaresius stalii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02230	Lucasinova nigromarginata	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	.	.	.	-	x	-	.
S02240	Neocallicrania barrosi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02250	Neocallicrania bolivarii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02260	Neocallicrania lusitanica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02270	Neocallicrania miegii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02280	Neocallicrania selligera	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02290	Neocallicrania serrata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02300	Parasteropleurus balearicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02310	Parasteropleurus martorellii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02320	Parasteropleurus perezi	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	.
S02330	Platystolus martinezii	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	.
S02340	Platystolus surcularius	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02350	Praephippigera pachygaster	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	-	x	-	.
S02360	Sabaterpia hispanica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02370	Sabaterpia paulinoi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02380	Sabaterpia taeniata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02390	Sorapagus catalaunicus	-	-	-	-	-	x	-	x	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	.	.	.	-	x	-	.
S02400	Steropleurus andalusius	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02410	Steropleurus brunneri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02420	Steropleurus castellanus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02430	Steropleurus flavovittatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02440	Steropleurus obsoletus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02450	Steropleurus pseudolus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02460	Steropleurus recticarinatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02470	Synephippius obvius	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	.
S02480	Uromenus agarenus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02490	Uromenus annae	-	-	-	x	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02500	Uromenus bonneti	-	-	-	x	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	x	-	.
S02510	Uromenus brevicollis	-	-	-	x	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02520	Uromenus dyrrhachiacus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02530	Uromenus elegans	-	-	-	x	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	x	x	-	.
S02540	Uromenus maroccanus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02550	Uromenus riggioi	-	-	-	x	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02560	Uromenus rugosicollis	-	-	-	x	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	-	x	-	.
S02570	Uromenus siculus	-	-	-	x	x	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02580	Conocephalus grebenchikovi	x	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02590	Conocephalus (Anisoptera) concolor	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02600	Conocephalus (Anisoptera) dorsalis	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02610	Conocephalus (Anisoptera) ebneri	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02620	Conocephalus (Anisoptera) fuscus	x	x	x	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	x	-	.
S02630	Conocephalus (Anisoptera) hastatus	x	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02640	Conocephalus (Anisoptera) kisi	x	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S02650	Conocephalus (Conocephalus) conocephalus	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S02660	Ruspolia differens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02670	Ruspolia nitidula	x	x	x	-	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S02680	Canariola emarginata 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02690	Canariola quinonesi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02700	Cyrtaspis scutata	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	x	.
S02710	Cyrtaspis tuberculata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02720	Meconema meridionale	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	.
S02730	Meconema thalassinum	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	x	-	x	-	.
S02740	Acrometopa cretensis	-	-	x	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S02750	Acrometopa italica	-	-	-	-	x	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S02760	Acrometopa macropoda	-	-	-	-	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S02770	Acrometopa servillea	x	x	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S02780	Acrometopa syriaca	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	-	x	-	-	-	-	x	-	x	-	-	.
S02790	Ancistrura nigrovittata	-	-	-	-	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	x	-	-	.
S02800	Andreiniimon nuptialis	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	x	-	-	.
S02810	Barbitistes alpinus	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02820	Barbitistes constrictus	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02830	Barbitistes fischeri	-	-	-	-	-	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02840	Barbitistes kaltenbachi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02850	Barbitistes obtusus	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02860	Barbitistes ocskayi	-	-	-	-	-	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	x	x	-	.
S02870	Barbitistes serricauda	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02880	Barbitistes vicetinus	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S02890	Barbitistes yersini	-	-	-	-	-	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	x	x	-	.
S02900	Euconocercus caucasicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02910	Isoimon riabovi 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02920	Isophya amplipennis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02930	Isophya andreevae	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S02940	Isophya beibienko	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02950	Isophya boldyrevi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02960	Isophya brevicauda	-	x	x	-	x	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S02970	Isophya brunneri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02980	Isophya bucovinensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S02990	Isophya bureschi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03000	Isophya camptoxypha	-	x	x	-	x	-	-	-	-	x	x	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
